Cosmic Watch Muon Detector
Device ID: Kingswood College A
Firmware version: 2.3.2
Compiled: Aug 10 2019 at 18:06:55
Official website: http://cosmicwatch.lns.mit.edu/
This firmware can be found at: https://github.com/jgOhYeah/NonOfficial-StuffForCosmicWatchMuonDetectors

Master
Count Time_Stamp_ms Measured_ADC_0-1023 SIPM_Voltage_mV Dead_Time_ms Temperature_C
724 1174290 63 17.9 67626 22.2
725 1175073 60 17.4 67651 22.2
726 1175626 60 17.4 67730 22.2
727 1176123 89 21.1 67754 22.2
728 1177358 280 48.7 67863 22.2
729 1177884 184 31.4 67887 22.2
730 1178048 79 20.0 67911 22.2
731 1179252 79 20.0 67983 22.2
732 1179411 60 17.4 68055 22.2
733 1180507 255 44.0 68127 22.3
734 1182212 135 24.9 68199 22.2
735 1182245 76 19.7 68224 22.2
736 1183809 449 112 68333 22.2
737 1184188 63 17.9 68357 22.2
738 1186305 63 17.9 68466 22.2
739 1188538 291 51.0 68576 22.3
740 1193017 182 31.0 68795 22.2
741 1194006 230 39.4 68867 22.2
742 1195115 671 277 68947 21.5
743 1197392 71 19.1 69063 22.3
744 1197853 78 19.9 69087 22.2
745 1202893 319 57.6 69307 22.2
746 1205056 71 19.1 69416 22.2
747 1207152 206 35.1 69526 22.7
748 1208993 94 21.5 69636 22.2
749 1210197 56 16.8 69708 22.2
750 1213328 590 201 69854 21.5
751 1215802 184 31.4 69971 22.2
752 1216166 255 44.0 70043 22.2
753 1218132 62 17.8 70152 22.2
754 1218697 153 26.9 70176 22.2
755 1219216 327 59.3 70248 22.2
756 1220888 76 19.7 70320 22.2
757 1224905 220 37.6 70502 22.2
758 1227090 451 113 70622 21.9
759 1228151 71 19.1 70699 22.2
760 1228849 188 32.0 70776 22.2
761 1229811 102 22.2 70853 22.2
762 1231181 254 43.8 70930 22.2
763 1232843 126 24.1 71044 22.2
764 1234022 67 18.5 71121 22.2
765 1234311 99 21.9 71150 22.3
766 1236943 352 66.9 71300 22.2
767 1239166 102 22.2 71414 22.2
768 1239795 103 22.2 71443 22.3
769 1241533 99 21.9 71557 22.3
770 1242092 159 27.7 71637 22.2
771 1247569 358 69.1 71865 22.2
772 1251697 56 16.8 72054 22.2
773 1252086 135 24.9 72084 22.2
774 1258572 102 22.2 72371 22.2
775 1261344 112 22.9 72516 22.2
776 1262315 81 20.3 72588 22.2
777 1264324 348 65.6 72697 22.7
778 1264536 92 21.3 72721 22.2
779 1265478 78 19.9 72793 22.2
780 1266343 199 33.9 72865 22.2
781 1267437 99 21.9 72937 22.2
782 1267804 211 36.0 72961 22.2
783 1268503 89 21.1 73033 22.2
784 1268597 63 17.9 73057 22.2
785 1268798 143 25.7 73081 22.2
786 1269655 51 15.9 73153 22.2
787 1270704 312 55.7 73225 22.2
788 1270791 707 321 73249 21.5
789 1272016 280 48.7 73335 22.3
790 1277777 60 17.4 73591 22.2
791 1277887 415 95.0 73615 22.2
792 1278610 184 31.4 73687 22.2
793 1279079 172 29.5 73711 22.2
794 1282043 89 21.1 73857 22.2
795 1283620 222 38.0 73930 22.2
796 1285489 348 65.6 74038 22.2
797 1287384 169 29.0 74147 22.2
798 1288628 494 141 74219 21.5
799 1288665 60 17.4 74243 22.3
800 1290706 76 19.7 74352 22.2
801 1291163 140 25.4 74424 22.2
802 1294230 143 25.7 74569 22.2
803 1299192 92 21.3 74931 22.2
804 1299521 79 20.0 75033 22.2
805 1302520 611 212 75186 21.5
806 1302798 101 22.1 75210 22.2
807 1303717 192 32.7 75282 22.2
808 1307973 76 19.7 75464 22.2
809 1310033 108 22.6 75573 22.3
810 1313123 259 44.7 75718 22.2
811 1314314 63 17.9 75790 22.3
812 1316132 312 55.7 75899 22.2
813 1317783 209 35.6 75971 22.2
814 1317916 440 109 75995 21.9
815 1319418 78 19.9 76104 22.3
816 1321762 79 20.0 76212 22.2
817 1323082 103 22.2 76284 22.2
818 1325700 120 23.6 76431 22.2
819 1325914 76 19.7 76455 22.2
820 1326637 252 43.4 76527 22.2
821 1330867 56 16.8 76716 22.2
822 1333240 78 19.9 76825 22.2
823 1333591 135 24.9 76849 22.2
824 1334242 115 23.2 76921 22.2
825 1335041 88 21.0 76993 22.2
826 1337596 71 19.1 77102 22.2
827 1337621 115 23.2 77126 22.2
828 1337817 143 25.7 77150 22.2
829 1344017 102 22.2 77407 22.2
830 1345783 108 22.6 77516 22.2
831 1346682 220 37.6 77592 22.2
832 1348726 83 20.5 77704 22.2
833 1351877 96 21.7 77850 22.2
834 1351978 120 23.6 77874 22.2
835 1354387 94 21.5 77982 22.2
836 1356031 48 15.3 78091 22.2
837 1358074 65 18.2 78208 22.2
838 1360711 111 22.9 78317 22.2
839 1363054 110 22.8 78463 22.2
840 1365343 227 38.8 78572 22.2
841 1365559 192 32.7 78596 22.2
842 1365828 327 59.3 78620 22.2
843 1366275 156 27.3 78692 22.2
844 1366772 103 22.2 78716 22.2
845 1369818 216 36.8 78862 22.2
846 1374624 63 17.9 79082 22.2
847 1377654 159 27.7 79227 22.2
848 1378923 83 20.5 79299 22.2
849 1383809 391 82.4 79519 22.3
850 1384416 70 18.9 79543 22.2
851 1385536 179 30.6 79615 22.2
852 1386251 88 21.0 79693 22.2
853 1387210 69 18.8 79765 22.2
854 1389451 129 24.4 79874 22.3
855 1390572 115 23.2 79946 22.2
856 1399196 115 23.2 80276 22.2
857 1400009 352 66.9 80348 22.2
858 1402369 83 20.5 80457 22.2
859 1402695 96 21.7 80529 22.2
860 1403593 51 15.9 80601 22.2
861 1405343 449 112 80673 22.2
862 1406853 135 24.9 80783 22.2
863 1408143 129 24.4 80855 22.2
864 1410332 142 25.6 80964 22.2
865 1411435 312 55.7 81036 22.2
866 1413987 216 36.8 81182 22.7
867 1414677 120 23.6 81206 22.7
868 1415202 222 38.0 81286 22.2
869 1416588 129 24.4 81358 22.2
870 1417001 96 21.7 81382 22.3
871 1419968 179 30.6 81527 22.2
872 1420406 199 33.9 81599 22.3
873 1422336 167 28.8 81708 22.3
874 1422849 112 22.9 81732 22.2
875 1426745 88 21.0 81915 22.2
876 1427025 255 44.0 81939 22.2
877 1429546 158 27.5 82048 22.2
878 1431146 88 21.0 82158 22.2
879 1435675 172 29.5 82340 22.2
880 1440686 583 201 82561 21.5
881 1441201 216 36.8 82642 22.2
882 1442655 280 48.7 82714 22.2
883 1444408 78 19.9 82823 22.2
884 1446116 71 19.1 82902 22.2
885 1447151 255 44.0 82974 22.2
886 1447820 78 19.9 83046 22.2
887 1452203 105 22.4 83229 22.2
888 1452663 97 21.7 83301 22.2
889 1452902 319 57.6 83325 22.3
890 1453101 88 21.0 83349 22.2
891 1456311 76 19.7 83495 22.2
892 1457323 79 20.0 83568 22.2
893 1459334 71 19.1 83679 22.3
894 1460075 108 22.6 83755 22.2
895 1460806 63 17.9 83779 22.2
896 1463399 332 61.2 83926 22.2
897 1465078 54 16.4 84035 22.2
898 1467057 140 25.4 84108 22.3
899 1468098 169 29.0 84204 22.2
900 1469027 71 19.1 84276 22.2
901 1469533 263 45.4 84348 22.3
902 1470827 86 20.8 84420 22.2
903 1473427 184 31.4 84566 22.2
904 1474493 96 21.7 84639 22.2
905 1475113 222 38.0 84663 22.3
906 1476650 78 19.9 84771 22.2
907 1477494 115 23.2 84795 22.3
908 1478226 248 42.7 84867 22.2
909 1479731 131 24.5 84977 22.2
910 1482601 184 31.4 85086 22.2
911 1483813 295 51.7 85158 22.3
912 1484976 67 18.5 85266 22.3
913 1491036 127 24.2 85486 22.7
914 1492388 88 21.0 85595 22.2
915 1494600 167 28.8 85710 22.2
916 1494757 71 19.1 85734 22.3
917 1494872 88 21.0 85758 22.2
918 1495376 284 49.4 85831 22.3
919 1497013 92 21.3 85903 22.2
920 1498062 176 30.1 85975 22.2
921 1501527 67 18.5 86121 22.2
922 1501825 408 90.6 86193 22.2
923 1503392 496 144 86265 21.5
924 1504124 131 24.5 86338 22.3
925 1504448 440 109 86362 21.9
926 1505304 192 32.7 86434 22.2
927 1506765 71 19.1 86631 22.2
928 1509869 286 49.8 86998 22.2
929 1514124 89 21.1 87181 22.2
930 1518062 176 30.1 87364 22.2
931 1520902 287 50.2 87518 22.2
932 1521637 636 232 87591 21.5
933 1524458 103 22.2 87708 22.2
934 1530887 88 21.0 87963 22.2
935 1533562 60 17.4 88109 22.2
936 1535511 142 25.6 88219 22.2
937 1539073 63 17.9 88365 22.2
938 1540245 156 27.3 88438 22.7
939 1542345 241 41.4 88547 22.2
940 1542517 110 22.8 88619 22.2
941 1544105 131 24.5 88691 22.2
942 1549774 51 15.9 88949 22.2
943 1554571 207 35.3 89131 22.2
944 1557592 71 19.1 89278 22.2
945 1562017 76 19.7 89461 22.2
946 1563963 99 21.9 89570 22.2
947 1565223 63 17.9 89649 22.2
948 1568073 131 24.5 89796 22.2
949 1569352 312 55.7 89869 22.2
950 1570567 112 22.9 89978 22.2
951 1572388 103 22.2 90050 22.2
952 1572695 627 249 90122 21.5
953 1576436 179 30.6 90277 22.3
954 1576514 177 30.3 90304 22.2
955 1577795 592 192 90380 21.5
956 1579264 63 17.9 90498 22.2
957 1581319 295 51.7 90607 22.7
958 1583020 62 17.8 90679 22.2
959 1584032 120 23.6 90752 22.2
960 1586250 120 23.6 90898 22.2
961 1589694 94 21.5 91046 22.2
962 1589914 255 44.0 91078 22.2
963 1591660 71 19.1 91187 22.2
964 1592713 67 18.5 91259 22.7
965 1594514 408 90.6 91331 22.2
966 1597120 412 92.9 91476 22.2
967 1599686 103 22.2 91585 22.2
968 1599909 124 23.9 91657 22.2
969 1603635 216 36.8 91804 22.2
970 1603999 143 25.7 91877 22.2
971 1604470 195 33.2 91901 22.3
972 1607009 295 51.7 92009 22.2
973 1609526 145 26.0 92155 22.2
974 1610879 94 21.5 92228 22.2
975 1612234 62 17.8 92300 22.2
976 1614180 166 28.6 92409 22.2
977 1615342 227 38.8 92481 22.2
978 1617263 284 49.4 92597 22.2
979 1618158 51 15.9 92670 22.2
980 1622853 62 17.8 92889 22.2
981 1625024 355 68.3 92999 22.2
982 1627765 67 18.5 93108 22.7
983 1631100 92 21.3 93292 22.2
984 1631457 224 38.3 93316 22.2
985 1631586 79 20.0 93340 22.2
986 1633940 174 29.8 93448 22.2
987 1635997 88 21.0 93557 22.2
988 1640047 63 17.9 93739 22.3
989 1640485 172 29.5 93811 22.2
990 1644238 88 21.0 93956 22.2
991 1644445 67 18.5 93980 22.2
992 1644794 143 25.7 94052 22.2
993 1646857 96 21.7 94162 22.2
994 1647056 76 19.7 94194 22.2
995 1647453 243 41.7 94218 22.2
996 1657547 56 16.8 94623 22.2
997 1658614 71 19.1 94695 22.2
998 1659280 195 33.2 94767 22.2
999 1659814 305 53.9 94791 22.2
1000 1670857 259 44.7 95231 22.3
1001 1670885 448 112 95256 22.2
1002 1672561 76 19.7 95329 22.2
1003 1673306 60 17.4 95402 22.2
1004 1673647 131 24.5 95426 22.2
1005 1675105 216 36.8 95537 22.3
1006 1677149 112 22.9 95648 22.2
1007 1677329 76 19.7 95672 22.2
1008 1681069 224 38.3 95855 22.2
1009 1681233 172 29.5 95891 22.2
1010 1683895 49 15.5 96006 22.2
1011 1685667 334 61.4 96121 22.2
1012 1687279 112 22.9 96236 22.2
1013 1688706 368 72.9 96315 22.2
1014 1689279 112 22.9 96344 22.3
1015 1689991 112 22.9 96422 22.2
1016 1697022 152 26.8 96724 22.2
1017 1698484 140 25.4 96806 22.2
1018 1698757 188 32.0 96885 22.2
1019 1699430 216 36.8 96914 22.2
1020 1702562 142 25.6 97066 22.2
1021 1702986 391 82.4 97146 22.2
1022 1703833 120 23.6 97176 22.2
1023 1704960 88 21.0 97255 22.2
1024 1706376 65 18.2 97397 22.2
1025 1707285 440 109 97470 21.5
1026 1708289 184 31.4 97544 22.2
1027 1708414 115 23.2 97568 22.2
1028 1710884 252 43.4 97677 22.2
1029 1714363 112 22.9 97824 22.2
1030 1714956 71 19.1 97897 22.2
1031 1718986 448 112 98080 21.9
1032 1722580 224 38.3 98227 22.2
1033 1724707 79 20.0 98337 22.2
1034 1728094 329 59.9 98521 22.2
1035 1728500 307 54.5 98545 22.2
1036 1728770 112 22.9 98569 22.2
1037 1729174 78 19.9 98642 22.3
1038 1730866 120 23.6 98715 22.2
1039 1730989 108 22.6 98739 22.2
1040 1734073 127 24.2 98892 22.2
1041 1734413 252 43.4 98965 22.2
1042 1738001 174 29.8 99112 22.2
1043 1738590 284 49.4 99185 22.2
1044 1738986 112 22.9 99209 22.2
1045 1740015 167 28.8 99284 22.2
1046 1742272 103 22.2 99393 22.7
1047 1743783 76 19.7 99503 22.2
1048 1745475 92 21.3 99576 22.2
1049 1745505 51 15.9 99600 22.3
1050 1749755 103 22.2 99784 22.2
1051 1752096 344 64.7 99931 22.2
1052 1753145 184 31.4 100004 22.2
1053 1754114 398 85.6 100077 22.2
1054 1755496 71 19.1 100330 22.2
1055 1758741 462 121 100514 21.5
1056 1759547 408 90.6 100587 22.2
1057 1760206 98 21.8 100611 22.2
1058 1763615 172 29.5 100795 22.2
1059 1768335 84 20.6 100979 22.3
1060 1770487 112 22.9 101089 22.2
1061 1771207 423 97.4 101163 21.5
1062 1771274 120 23.6 101187 22.2
1063 1774618 56 16.8 101334 22.2
1064 1774746 307 54.5 101358 22.2
1065 1777059 192 32.7 101505 22.2
1066 1777464 63 17.9 101529 22.7
1067 1777988 83 20.5 101553 22.2
1068 1786616 56 16.8 101922 22.2
1069 1790319 73 19.3 102076 22.2
1070 1794434 102 22.2 102259 22.2
1071 1796219 312 55.7 102370 22.3
1072 1796579 460 120 102394 21.5
1073 1797199 88 21.0 102468 22.2
1074 1806928 240 41.2 102836 22.2
1075 1807012 487 133 102860 21.5
1076 1811889 497 142 103080 21.9
1077 1812821 88 21.0 103156 22.2
1078 1814639 238 40.8 103270 22.2
1079 1815997 78 19.9 103343 22.2
1080 1816296 243 41.7 103367 22.2
1081 1818999 312 55.7 103514 22.2
1082 1819549 230 39.4 103538 22.3
1083 1820130 79 20.0 103611 22.2
1084 1820847 62 17.8 103692 22.2
1085 1824095 188 32.0 103839 22.2
1086 1825656 236 40.4 103913 22.2
1087 1828748 158 27.5 104059 22.2
1088 1830347 206 35.1 104169 22.2
1089 1831195 515 148 104242 21.5
1090 1831521 112 22.9 104266 22.2
1091 1831836 241 41.4 104290 22.2
1092 1832822 127 24.2 104363 22.2
1093 1832885 319 57.6 104387 22.2
1094 1833569 127 24.2 104460 22.2
1095 1833668 112 22.9 104484 22.7
1096 1834398 62 17.8 104557 22.3
1097 1838390 88 21.0 104705 22.2
1098 1840660 88 21.0 104851 22.2
1099 1843034 568 190 104967 21.5
1100 1843557 88 21.0 104991 22.2
1101 1843914 94 21.5 105064 22.2
1102 1844102 60 17.4 105088 22.2
1103 1848412 103 22.2 105272 22.2
1104 1849016 143 25.7 105345 22.2
1105 1849145 118 23.4 105369 22.2
1106 1850074 135 24.9 105443 22.2
1107 1851964 255 44.0 105516 22.3
1108 1854606 201 34.2 105664 22.2
1109 1854955 287 50.2 105688 22.3
1110 1856400 78 19.9 105798 22.2
1111 1859330 177 30.3 105944 22.2
1112 1860003 95 21.6 105968 22.2
1113 1860674 248 42.7 106041 22.2
1114 1863838 115 23.2 106197 22.2
1115 1866433 103 22.2 106307 22.2
1116 1867703 96 21.7 106417 22.2
1117 1869009 211 36.0 106491 22.2
1118 1871077 156 27.3 106600 22.2
1119 1874623 255 44.0 106747 22.2
1120 1877129 739 496 106894 21.5
1121 1879875 92 21.3 107013 22.2
1122 1880043 79 20.0 107037 22.2
1123 1880814 222 38.0 107111 22.7
1124 1881052 71 19.1 107135 22.2
1125 1881191 425 99.5 107159 21.7
1126 1881620 73 19.3 107233 22.2
1127 1887462 103 22.2 107454 22.2
1128 1888245 839 829 107528 21.5
1129 1889231 99 21.9 107615 22.2
1130 1891090 384 80.1 107724 22.2
1131 1892665 295 51.7 107797 22.2
1132 1892902 120 23.6 107871 22.2
1133 1893092 127 24.2 107895 22.2
1134 1897281 224 38.3 108078 22.7
1135 1899027 63 17.9 108189 22.2
1136 1900128 92 21.3 108263 22.2
1137 1901149 199 33.9 108336 22.7
1138 1906089 134 24.8 108520 22.2
1139 1907039 176 30.1 108596 22.2
1140 1908787 63 17.9 108710 22.2
1141 1909193 108 22.6 108734 22.2
1142 1909393 147 26.2 108758 22.2
1143 1909883 184 31.4 108856 22.2
1144 1917275 120 23.6 109149 22.2
1145 1917542 83 20.5 109173 22.2
1146 1918204 120 23.6 109246 22.2
1147 1920136 332 61.2 109356 22.2
1148 1921430 120 23.6 109429 22.2
1149 1921508 161 27.9 109453 22.2
1150 1923412 454 115 109563 21.9
1151 1924642 167 28.8 109636 22.3
1152 1927000 184 31.4 109746 22.2
1153 1927697 60 17.4 109819 22.2
1154 1928519 88 21.0 109892 22.2
1155 1929022 64 18.1 109916 22.2
1156 1929522 225 38.5 109988 22.2
1157 1930097 65 18.2 110012 22.2
1158 1931823 199 33.9 110129 22.2
1159 1933029 304 53.7 110202 22.2
1160 1934155 88 21.0 110275 22.3
1161 1935793 56 16.8 110386 22.2
1162 1936191 112 22.9 110410 22.2
1163 1936949 398 85.6 110483 22.2
1164 1940076 180 30.7 110630 22.2
1165 1942194 167 28.8 110739 22.2
1166 1944627 216 36.8 110848 22.2
1167 1947249 71 19.1 110995 22.2
1168 1950310 60 17.4 111141 22.2
1169 1951445 159 27.7 111214 22.2
1170 1951969 398 85.6 111238 22.0
1171 1953562 112 22.9 111348 22.2
1172 1954176 51 15.9 111372 22.2
1173 1954273 192 32.7 111404 22.2
1174 1954505 73 19.3 111477 22.3
1175 1955748 275 47.7 111550 22.2
1176 1955807 71 19.1 111574 22.2
1177 1956370 280 48.7 111724 22.2
1178 1957071 71 19.1 112011 22.2
1179 1958607 275 47.7 112084 22.2
1180 1959372 78 19.9 112157 22.3
1181 1960345 96 21.7 112231 22.2
1182 1964561 243 41.7 112414 22.3
1183 1965688 184 31.4 112488 22.2
1184 1965815 166 28.6 112512 22.2
1185 1966508 337 62.3 112585 22.2
1186 1967590 124 23.9 112658 22.2
1187 1968036 63 17.9 112682 22.2
1188 1968771 129 24.4 112762 22.3
1189 1970663 103 22.2 112872 22.3
1190 1970932 335 61.8 112896 22.2
1191 1974634 233 39.9 113079 22.2
1192 1978463 76 19.7 113226 22.7
1193 1983645 192 32.7 113447 22.2
1194 1986773 198 33.7 113594 22.2
1195 1990023 127 24.2 113778 22.2
1196 1990284 163 28.2 113802 22.2
1197 1990609 220 37.6 113826 22.2
1198 1993530 193 32.8 113973 22.2
1199 1995983 130 24.4 114083 22.2
1200 1996128 96 21.7 114110 22.7
1201 1997346 63 17.9 114223 22.2
1202 1999889 71 19.1 114333 22.2
1203 2000360 199 33.9 114365 22.2
1204 2000675 359 69.9 114438 22.3
1205 2002381 92 21.3 114511 22.2
1206 2002897 79 20.0 114584 22.2
1207 2003147 76 19.7 114608 22.2
1208 2005369 147 26.2 114719 22.2
1209 2005857 112 22.9 114793 22.7
1210 2006149 278 48.3 114817 22.2
1211 2007252 103 22.2 114891 22.2
1212 2010804 67 18.5 115038 22.2
1213 2012765 79 20.0 115148 22.2
1214 2013494 62 17.8 115221 22.7
1215 2013861 96 21.7 115245 22.2
1216 2018327 220 37.6 115466 22.2
1217 2019060 222 38.0 115497 22.2
1218 2020211 88 21.0 115570 22.2
1219 2020515 131 24.5 115644 22.2
1220 2023055 108 22.6 115756 22.3
1221 2023719 393 83.5 115830 22.3
1222 2023774 105 22.4 115854 22.2
1223 2023929 463 119 115878 21.5
1224 2026933 97 21.7 116024 22.3
1225 2027041 199 33.9 116048 22.2
1226 2027641 142 25.6 116121 22.3
1227 2032589 97 21.7 116304 22.3
1228 2032720 112 22.9 116328 22.3
1229 2035945 60 17.4 116512 22.2
1230 2037124 513 149 116585 21.5
1231 2038126 280 48.7 116658 22.2
1232 2038748 216 36.8 116690 22.2
1233 2040131 79 20.0 116800 22.2
1234 2042928 79 20.0 116910 22.2
1235 2045660 140 25.4 117056 22.2
1236 2047654 496 144 117166 21.5
1237 2052831 79 20.0 117386 22.2
1238 2055999 103 22.2 117533 22.2
1239 2056960 206 35.1 117606 22.2
1240 2059635 675 318 117716 21.5
1241 2059804 167 28.8 117740 22.2
1242 2059958 211 36.0 117813 22.2
1243 2062372 115 23.2 117923 22.2
1244 2069563 243 41.7 118218 22.2
1245 2072634 83 20.5 118366 22.2
1246 2079222 236 40.4 118625 22.2
1247 2079422 56 16.8 118660 22.2
1248 2080388 209 35.6 118739 22.2
1249 2080545 103 22.2 118768 22.2
1250 2083313 167 28.8 118919 22.2
1251 2084064 70 18.9 118997 22.2
1252 2085287 348 65.6 119075 22.2
1253 2088361 771 600 119227 21.1
1254 2089746 65 18.2 119313 22.2
1255 2090393 243 41.7 119391 22.2
1256 2093532 359 69.9 119543 22.2
1257 2094103 399 87.3 119572 22.2
1258 2096855 71 19.1 119724 22.3
1259 2097604 88 21.0 119802 22.2
1260 2099431 521 150 119880 21.9
1261 2100073 302 53.3 119959 22.2
1262 2100858 108 22.6 120069 22.3
1263 2101302 156 27.3 120093 22.2
1264 2102180 184 31.4 120166 22.2
1265 2102557 143 25.7 120190 22.2
1266 2103152 62 17.8 120264 22.2
1267 2105334 188 32.0 120374 22.2
1268 2110747 448 112 120594 21.9
1269 2113287 140 25.4 120740 22.2
1270 2116022 300 52.8 120849 22.2
1271 2117260 248 42.7 120959 22.2
1272 2117813 384 80.1 120983 22.2
1273 2120013 63 17.9 121093 22.2
1274 2121055 102 22.2 121166 22.2
1275 2123139 295 51.7 121276 22.2
1276 2130928 88 21.0 121607 22.2
1277 2134206 79 20.0 121760 22.2
1278 2135762 127 24.2 121833 22.2
1279 2141384 79 20.0 122092 22.2
1280 2142378 318 57.3 122165 22.2
1281 2143146 177 30.3 122189 22.2
1282 2144129 63 17.9 122262 22.2
1283 2145625 96 21.7 122372 22.3
1284 2147608 388 81.4 122482 22.2
1285 2148818 110 22.8 122555 22.2
1286 2156074 451 113 122850 21.9
1287 2156197 71 19.1 122874 22.2
1288 2156347 209 35.6 122898 22.2
1289 2157899 88 21.0 123008 22.2
