Cosmic Watch Muon Detector
Device ID: Kingswood College B
Firmware version: 2.1.1 non official
Compiled: Jul 22 2018 at 15:06:55
Official website: http://cosmicwatch.lns.mit.edu/
This software can be found at: https://github.com/jgOhYeah/NonOfficial-StuffForCosmicWatchMuonDetectors

Master
Count,Time Stamp,Measured ADC,SIPM Voltage,Dead Time,Temperature C
172,107052,179,30.6,10562,19.6
173,107820,60,17.4,10656,19.6
174,107858,135,24.9,10683,19.6
175,108450,216,36.8,10778,19.6
176,109582,190,32.3,10873,19.6
177,109846,163,28.2,10898,19.6
178,109927,231,39.5,10923,19.6
179,110060,387,81.0,10947,18.8
180,110455,115,23.2,10972,19.6
181,110784,467,122,11066,18.5
182,111435,142,25.6,11093,19.6
183,111520,49,15.5,11126,19.6
184,111912,323,58.5,11221,19.6
185,112686,300,52.8,11312,19.6
186,112849,70,18.9,11338,19.6
187,113270,143,25.7,11361,19.6
188,113565,216,36.8,11386,19.6
189,113675,76,19.7,11410,19.6
190,114236,62,17.8,11507,19.6
191,115951,255,44.0,11634,19.6
192,116716,71,19.1,11661,19.6
193,117359,143,25.7,11753,19.6
194,117795,403,89.0,11777,18.8
195,118464,440,109,11868,18.2
196,119583,368,72.9,11961,19.3
197,122307,65,18.2,12120,19.6
198,122540,307,54.5,12147,19.6
199,122933,176,30.1,12171,19.6
200,123540,867,898,12274,17.4
201,124807,88,21.0,12368,19.6
202,125827,588,183,12462,17.4
203,126165,319,57.6,12677,19.6
204,126306,127,24.2,12700,19.6
205,126556,121,23.7,12793,19.6
206,128218,94,21.5,12887,19.6
207,129401,110,22.8,12980,19.6
208,131941,364,71.7,13141,19.6
209,132605,99,21.9,13164,19.6
210,134726,63,17.9,13293,19.6
211,134813,79,20.0,13316,19.6
212,135762,318,57.3,13411,19.6
213,136060,511,149,13504,17.8
214,137151,110,22.8,13598,19.6
215,137380,358,69.1,13623,19.3
216,137515,560,175,13654,17.8
217,140252,304,53.7,13814,19.6
218,140307,135,24.9,13837,19.6
219,140877,558,173,13862,18.5
220,141143,449,112,13886,18.5
221,141197,78,19.9,13912,19.6
222,141324,214,36.5,14006,19.6
223,141860,147,26.2,14031,19.6
224,142716,159,27.7,14124,19.6
225,142795,305,53.9,14148,19.6
226,143190,152,26.8,14171,19.6
227,144614,89,21.1,14299,19.6
228,144742,422,98.0,14323,18.5
229,145418,83,20.5,14349,19.6
230,145636,83,20.5,14442,19.6
231,146135,376,76.4,14467,19.0
232,146317,440,109,14500,18.5
233,147333,455,117,14590,18.2
234,147552,120,23.6,14617,19.6
235,147804,54,16.4,14708,19.6
236,147963,465,122,14735,18.5
237,149036,176,30.1,14827,19.6
238,149235,127,24.2,14854,19.6
239,149560,710,363,14877,17.4
240,149657,83,20.5,14903,19.6
241,149989,49,15.5,14993,19.6
242,150661,444,109,15020,18.2
243,150952,448,112,15111,18.5
244,151982,319,57.6,15206,19.6
245,152535,204,34.7,15230,19.6
246,152922,380,78.1,15257,18.8
247,153679,295,51.7,15349,19.6
248,153876,248,42.7,15381,19.6
249,153912,65,18.2,15407,19.6
250,154005,376,76.4,15431,19.3
251,154471,248,42.7,15526,19.6
